kind	word	levels	forms	occurrences
SAFE	advise	verb:b1	advise	act2-speech-0565 | TROTTER | advise | I should advise it, sir. Take my torch, sir. It's behind the curtain. Mrs. Ralston, count twenty and then begin to play. Mrs. Ralston! Mrs. Ralston!
SAFE	afterwards	adverb:b2	afterwards	act2-speech-0584 | MOLLIE | afterwards | That's not true. I was ill. I went down with pneumonia that very day. The letter was put aside with others. It was weeks afterwards that I found it with a lot of other letters. And by then that poor child was dead... Dead ― dead...Waiting for me to do something ― hoping ― gradually losing hope...Oh, it's haunted me ever since...If only I hadn't been ill ― if only I'd known...Oh, it's monstrous that such things should happen.
SAFE	assemble	verb:c1	assembled	act2-speech-0500 | TROTTER | assembled | Yes, Mr. Wren ― at last the police have a clue. I want everyone assembled in here again. Do you know where they are?
SAFE	being	noun:b2	being	act2-speech-0573 | TROTTER | being | Yes, you've been extraordinary foolish, you know. You've run a very good chance of being killed by holding out on me. As a result, you've been in serious danger more than once.
SAFE	chapter	noun:b1	chapter	act2-speech-0512 | PARAVICINI | chapter | Please don't. I always think explanations should be kept to the very end. That exciting last chapter, you know.
SAFE	chase	noun:b2,verb:b2	chased	act2-speech-0594 | MISS CASEWELL | chased | Georgie, Georgie, you know me, don't you? Don't you remember the farm, Georgie? The animals, that fat old pig, and the day the bull chased us across the field. And the dogs.
SAFE	clue	noun:b1	clue	act2-speech-0499 | CHRISTOPHER | clue | The police have a clue. || act2-speech-0500 | TROTTER | clue | Yes, Mr. Wren ― at last the police have a clue. I want everyone assembled in here again. Do you know where they are?
SAFE	concern	noun:b2,verb:b2	concerned,concerns	act2-speech-0457 | MISS CASEWELL | concerns | I really don't see, you know, why I should. It's a matter that concerns me alone. A strictly private affair. || act2-speech-0575 | TROTTER | concerned | Come now, Mrs. Ralston. We policemen aren't quite so dumb as you think. All along I've realized that you had firsthand knowledge of the Longridge Farm affair. You knew Mrs. Boyle was the magistrate concerned. In fact, you knew all about it. Why didn't you speak up and say so?
SAFE	concerned	adjective:b2	concerned	act2-speech-0575 | TROTTER | concerned | Come now, Mrs. Ralston. We policemen aren't quite so dumb as you think. All along I've realized that you had firsthand knowledge of the Longridge Farm affair. You knew Mrs. Boyle was the magistrate concerned. In fact, you knew all about it. Why didn't you speak up and say so?
SAFE	consent	noun:c1,verb:c1	consent	act2-speech-0544 | PARAVICINI | consent | Oh yes, I consent.
SAFE	cooperate	verb:c1	cooperate	act2-speech-0539 | GILES | cooperate | Of course, what you say goes, Sergeant. We'll all cooperate. Eh, Mollie?
