SCN-A01-S02
FORMAT: seq|type_or_speaker|source_label_ordinal|pdf_page_start-pdf_page_end|spoken_sentence_count
0001|PREAMBLE|-|20-20|0
0002|B|1|20-20|1
0003|K|2|20-20|6
0004|B|3|20-20|1
0005|K|4|20-20|1
0006|B|5|20-20|1
0007|K|6|20-20|3
0008|B|7|20-20|2
0009|K|8|20-20|3
0010|B|9|20-20|2
0011|K|10|20-20|2
0012|B|11|20-20|2
0013|K|12|20-20|1
0014|B|13|20-20|1
0015|K|14|21-21|1
0016|B|15|21-21|1
0017|C|16|21-21|2
0018|B|17|21-21|2
0019|K|18|21-21|1
0020|B|19|21-21|1
0021|M|20|21-21|1
0022|G|21|21-21|1
0023|M|22|21-21|1
0024|G|23|21-21|1
0025|K|24|21-21|3
0026|M|25|21-21|1
0027|S|26|21-21|1
0028|B|27|21-21|5
0029|S|28|21-21|2
0030|B|29|21-22|2
0031|S|30|22-22|1
0032|B|31|22-22|2
0033|S|32|22-22|1
0034|B|33|22-22|1
0035|S|34|22-22|2
0036|B|35|22-22|1
0037|S|36|22-22|3
0038|B|37|22-22|1
0039|S|38|22-22|1
0040|B|39|22-22|4
0041|S|40|22-22|1
0042|B|41|22-22|2
0043|S|42|22-22|3
0044|B|43|22-22|1
0045|S|44|22-22|1
0046|B|45|22-22|1
0047|S|46|22-22|1
0048|B|47|22-23|2
0049|S|48|23-23|1
0050|B|49|23-23|1
0051|S|50|23-23|2
0052|B|51|23-23|2
0053|S|52|23-23|2
0054|C|53|23-23|1
0055|S|54|23-23|1
0056|C|55|23-23|1
0057|S|56|23-23|1
0058|C|57|23-23|1
0059|S|58|23-23|1
0060|C|59|23-23|1
0061|S|60|23-23|1
0062|C|61|23-23|1
0063|S|62|23-23|2
0064|C|63|23-23|6
0065|S|64|23-23|2
0066|C|65|23-23|1
0067|S|66|24-24|1
0068|C|67|24-24|3
0069|S|68|24-24|1
0070|C|69|24-24|1
0071|S|70|24-24|1
0072|C|71|24-24|1
0073|S|72|24-24|1
0074|C|73|24-24|2
0075|S|74|24-24|1
0076|C|75|24-24|1
0077|S|76|24-24|2
0078|M|77|24-24|10
0079|G|78|24-24|1
0080|M|79|25-25|1
0081|S|80|25-25|2
0082|M|81|25-25|1
0083|G|82|25-25|1
0084|M|83|25-25|2
0085|G|84|25-25|3
0086|M|85|25-25|4
0087|G|86|25-25|1
0088|M|87|25-25|1
0089|G|88|25-25|1
0090|M|89|25-25|1
0091|G|90|25-25|1
0092|M|91|25-25|1
0093|G|92|25-25|3
0094|M|93|25-25|2
0095|G|94|25-26|4
0096|B|95|26-26|2
0097|G|96|26-26|1
0098|B|97|26-26|1
0099|G|98|26-26|1
0100|B|99|26-26|2
0101|M|100|26-26|1
0102|B|101|26-26|1
0103|M|102|26-26|1
0104|B|103|26-26|5
0105|M|104|26-26|4
0106|B|105|26-26|4
0107|M|106|26-26|4
0108|B|107|26-26|2
0109|M|108|26-26|1
0110|B|109|27-27|1
0111|M|110|27-27|2
0112|B|111|27-27|1
0113|M|112|27-27|1
0114|B|113|27-27|1
0115|P|114|27-27|3
0116|B|115|27-27|1
0117|P|116|27-27|3
0118|B|117|27-27|1
0119|P|118|27-27|1
0120|B|119|27-27|2
0121|P|120|27-27|2
0122|M|121|27-27|2
0123|P|122|27-27|4
0124|M|123|27-27|1
0125|P|124|27-27|2
0126|M|125|28-28|2
0127|P|126|28-28|1
0128|M|127|28-28|1
0129|P|128|28-28|4
0130|M|129|28-28|2
0131|P|130|28-28|6
0132|M|131|28-28|1
0133|P|132|28-28|2
0134|M|133|28-28|1
0135|B|134|28-28|2
0136|P|135|28-28|1
0137|K|136|28-28|2
0138|M|137|28-29|3
0139|B|138|29-29|1
0140|K|139|29-29|1
0141|M|140|29-29|4
0142|G|141|29-29|2
0143|K|142|29-29|2
0144|G|143|29-29|7
0145|T|144|29-29|1
0146|G|145|29-29|1
0147|T|146|29-29|4
0148|G|147|29-29|2
0149|T|148|29-29|1
0150|B|149|29-29|1
0151|P|150|30-30|1
0152|M|151|30-30|1
0153|C|152|30-30|4
0154|B|153|30-30|2
0155|G|154|30-30|1
0156|T|155|30-30|1
0157|B|156|30-30|2
0158|T|157|30-30|1
0159|C|158|30-30|1
0160|G|159|30-30|1
0161|K|160|30-30|1
0162|M|161|30-30|1
0163|C|162|30-30|2
0164|B|163|30-30|2
0165|K|164|30-30|3
0166|M|165|30-30|1
0167|K|166|30-30|1
0168|C|167|30-30|3
0169|K|168|31-31|1
0170|B|169|31-31|1
0171|C|170|31-31|2
0172|T|171|31-31|2
0173|G|172|31-31|2
0174|T|173|31-31|3
0175|P|174|31-31|1
0176|T|175|31-31|1
0177|M|176|31-31|2
0178|T|177|31-31|4
0179|M|178|31-31|1
0180|T|179|31-31|2
0181|M|180|31-31|3
0182|T|181|31-31|2
0183|G|182|31-31|1
0184|T|183|32-32|5
0185|G|184|32-32|2
0186|T|185|32-32|1
0187|S|186|32-32|1
0188|T|187|32-32|6
0189|M|188|32-32|1
0190|T|189|32-32|4
0191|M|190|32-32|1
0192|T|191|32-32|5
0193|G|192|32-32|1
0194|T|193|32-33|2
0195|G|194|33-33|2
0196|T|195|33-33|3
0197|G|196|33-33|3
0198|T|197|33-33|1
0199|G|198|33-33|1
0200|T|199|33-33|1
0201|G|200|33-33|1
0202|T|201|33-33|2
0203|B|202|33-33|1
0204|S|203|33-33|1
0205|C|204|33-33|1
0206|M|205|33-33|1
0207|T|206|33-33|6
0208|M|207|33-34|1
0209|G|208|34-34|1
0210|T|209|34-34|1
0211|G|210|34-34|1
0212|T|211|34-34|6
0213|M|212|34-34|1
0214|T|213|34-34|1
0215|M|214|34-34|1
0216|T|215|34-34|3
0217|G|216|34-34|1
0218|T|217|34-34|1
0219|M|218|34-34|1
0220|T|219|34-34|1
0221|M|220|34-34|4
0222|T|221|34-35|2
0223|B|222|35-35|4
0224|T|223|35-35|2
0225|B|224|35-35|2
0226|P|225|35-35|2
0227|T|226|35-35|9
0228|P|227|35-35|4
0229|T|228|35-35|1
0230|B|229|35-35|2
0231|T|230|35-35|1
0232|S|231|35-35|3
0233|T|232|35-35|1
0234|K|233|36-36|4
0235|T|234|36-36|1
0236|C|235|36-36|3
0237|T|236|36-36|3
0238|C|237|36-36|7
0239|B|238|36-36|1
0240|C|239|36-36|3
0241|B|240|36-36|2
0242|C|241|36-36|2
0243|B|242|36-36|1
0244|K|243|36-36|3
0245|C|244|36-36|5
0246|B|245|37-37|1
0247|M|246|37-37|1
0248|S|247|37-37|1
0249|B|248|37-37|1
0250|K|249|37-37|2
0251|B|250|37-37|3
0252|K|251|37-37|2
0253|B|252|37-37|1
0254|K|253|37-37|2
0255|B|254|37-37|6
0256|K|255|37-37|1
0257|B|256|37-37|2
0258|M|257|37-37|2
0259|B|258|37-37|1
0260|P|259|37-38|2
0261|B|260|38-38|1
0262|S|261|38-38|1
0263|M|262|38-38|1
0264|S|263|38-38|5
0265|M|264|38-38|1
0266|K|265|38-38|2
0267|M|266|38-38|3
0268|B|267|38-38|1
0269|M|268|38-38|1
0270|S|269|38-38|2
0271|M|270|38-38|1
0272|S|271|38-38|1
0273|M|272|38-38|1
0274|S|273|38-38|1
0275|M|274|38-38|1
0276|S|275|39-39|2
0277|M|276|39-39|1
0278|S|277|39-39|2
0279|M|278|39-39|1
0280|S|279|39-39|2
0281|M|280|39-39|1
0282|S|281|39-39|3
0283|M|282|39-39|1
0284|S|283|39-39|4
0285|M|284|39-39|1
0286|S|285|39-39|2
0287|M|286|39-39|1
0288|S|287|39-39|1
0289|M|288|39-39|1
0290|S|289|39-39|2
0291|M|290|39-39|4
0292|S|291|39-39|1
0293|M|292|39-39|1
0294|S|293|39-39|1
0295|T|294|39-40|2
0296|B|295|40-40|2
0297|T|296|40-40|1
0298|G|297|40-40|1
0299|T|298|40-40|3
0300|M|299|40-40|2
0301|T|300|40-40|2
0302|M|301|40-40|1
0303|T|302|40-40|2
0304|M|303|40-40|2
0305|T|304|40-40|2
0306|G|305|40-40|2
0307|T|306|40-40|1
0308|G|307|40-40|1
0309|T|308|40-40|1
0310|G|309|40-40|1
0311|M|310|41-41|1
0312|G|311|41-41|3
0313|T|312|41-41|2
0314|M|313|41-41|3
0315|T|314|41-41|1
0316|G|315|41-41|1
0317|T|316|41-41|4
0318|G|317|41-41|1
0319|T|318|41-41|2
0320|G|319|41-41|4
0321|T|320|41-41|2
0322|G|321|41-41|2
0323|T|322|41-41|2
0324|M|323|41-41|1
0325|T|324|41-41|4
0326|M|325|41-41|1
0327|T|326|41-41|3
0328|M|327|42-42|1
0329|T|328|42-42|1
0330|G|329|42-42|2
0331|T|330|42-42|1
0332|G|331|42-42|1
0333|T|332|42-42|1
0334|B|333|42-42|1
0335|R|334|42-42|4
0336|B|335|42-43|4
0337|M|336|43-43|2
0338|CURTAIN|-|43|0
