THE MOUSETRAP — A2+ ADDITION CANDIDATES — PART 1 / 1-291
Scope: global speeches 1-291 (291 speeches)
Policy: screening list, not official CEFR certification. Clear A1/basic items are excluded; uncertain content words are kept to minimize omissions.
Dictionary definitions are NOT created in this phase. Existing vocabulary/dictionary data are NOT modified.

PIPELINE
1. Extracted non-A1 candidate occurrences: 1313
2. After normalized/headword deduplication: 686
3. After removing already-implemented dictionary/vocabulary items: 314

FINAL ADDITION CANDIDATES
word	occurrences	firstSpeechId	surfaceForms
able	1	act1-scene1-speech-0121	able
according	2	act1-scene1-speech-0001	according
act	1	act1-scene1-speech-0054	acts
actually	2	act1-scene1-speech-0067	actually
add	1	act1-scene1-speech-0156	add
advance	1	act1-scene1-speech-0033	advance
afraid	8	act1-scene1-speech-0016	afraid
age	1	act1-scene1-speech-0054	ages
agree	2	act1-scene1-speech-0063	agree
ah	2	act1-scene1-speech-0046	ah
along	2	act1-scene1-speech-0013	along
alway	4	act1-scene1-speech-0071	always
anyone	2	act1-scene1-speech-0063	anyone
anything	4	act1-scene1-speech-0011	anything
anyway	5	act1-scene1-speech-0020	anyway
apart	1	act1-scene1-speech-0135	apart
arrive	5	act1-scene1-speech-0015	arrive, arrived
asylum	1	act1-scene2-speech-0018	asylum
avoid	1	act1-scene2-speech-0092	avoid
away	4	act1-scene1-speech-0052	away
awful	3	act1-scene1-speech-0044	awful
baptized	1	act1-scene1-speech-0067	baptized
beautiful	2	act1-scene1-speech-0069	beautiful
beef	2	act1-scene1-speech-0152	beef
beg	3	act1-scene1-speech-0099	beg
beginning	2	act1-scene1-speech-0092	beginning
believe	3	act1-scene1-speech-0059	believe, believed
bet	1	act1-scene1-speech-0011	bet
bird	1	act1-scene1-speech-0046	birds
bit	4	act1-scene2-speech-0034	bit
bitch	1	act1-scene2-speech-0052	bitch
bloody	1	act1-scene2-speech-0052	bloody
bound	1	act1-scene1-speech-0001	bound
brass	1	act1-scene1-speech-0046	brass
brilliant	1	act1-scene2-speech-0100	brilliant
brr	1	act1-scene1-speech-0002	brr
brush	1	act1-scene2-speech-0099	brush
called	2	act1-scene1-speech-0054	called
care	1	act1-scene1-speech-0040	care
carefully	1	act1-scene2-speech-0085	carefully
carpet	1	act1-scene2-speech-0027	carpet
carved	1	act1-scene1-speech-0048	carved
central	3	act1-scene1-speech-0013	central
certain	1	act1-scene1-speech-0001	certain
cheap	1	act1-scene1-speech-0156	cheap
cheer	1	act1-scene2-speech-0094	cheer
chicken	1	act1-scene1-speech-0010	chicken
chris	1	act1-scene1-speech-0067	chris
classe	2	act1-scene2-speech-0033	classes
clean	1	act1-scene2-speech-0038	clean
cleared	1	act1-scene1-speech-0085	cleared
coat	2	act1-scene1-speech-0084	coat
comfort	1	act1-scene1-speech-0118	comfort
complete	1	act1-scene1-speech-0190	complete
completely	1	act1-scene2-speech-0077	completely
consequence	1	act1-scene1-speech-0184	consequence
continue	2	act1-scene1-speech-0001	continue
cook	5	act1-scene1-speech-0019	cook, cooking
correspondence	1	act1-scene1-speech-0037	correspondence
cut	1	act1-scene1-speech-0190	cut
d'you	3	act1-scene1-speech-0099	d'you
daily	2	act1-scene1-speech-0017	daily
dark	2	act1-scene1-speech-0001	dark
darling	2	act1-scene1-speech-0123	darling
dear	3	act1-scene1-speech-0012	dear
deed	1	act1-scene1-speech-0108	deed
delight	1	act1-scene2-speech-0012	delight
delightful	1	act1-scene1-speech-0044	delightful
depend	1	act1-scene2-speech-0042	depends
depressed	1	act1-scene1-speech-0170	depressed
different	1	act1-scene2-speech-0011	different
dining	2	act1-scene1-speech-0049	dining
doth	1	act1-scene1-speech-0114	doth
downhill	1	act1-scene2-speech-0039	downhill
drove	1	act1-scene2-speech-0063	drove
dry	2	act1-scene1-speech-0093	dry
early	1	act1-scene1-speech-0016	early
earth	2	act1-scene1-speech-0158	earth
easier	2	act1-scene2-speech-0037	easier
easily	1	act1-scene1-speech-0121	easily
east	1	act1-scene1-speech-0032	east
eat	2	act1-scene1-speech-0133	eat, eating
eh	2	act1-scene1-speech-0134	eh
eleven	2	act1-scene1-speech-0028	eleven
englishwoman	1	act1-scene1-speech-0071	englishwoman
englishwomen	1	act1-scene1-speech-0071	englishwomen
er	3	act1-scene1-speech-0082	er
escaped	1	act1-scene2-speech-0018	escaped
ever	1	act1-scene2-speech-0099	ever
everyone	2	act1-scene1-speech-0067	everyone
everything	8	act1-scene1-speech-0014	everything
everywhere	1	act1-scene1-speech-0177	everywhere
excellent	3	act1-scene1-speech-0133	excellent
extremely	1	act1-scene2-speech-0100	extremely
fall	2	act1-scene1-speech-0132	fall, falls
feeling	2	act1-scene1-speech-0054	feeling
fig	1	act1-scene1-speech-0152	figs
fill	2	act1-scene1-speech-0121	fill, filled
flower	1	act1-scene1-speech-0046	flowers
forget	2	act1-scene2-speech-0067	forget
forgotten	1	act1-scene1-speech-0010	forgotten
forty	1	act1-scene1-speech-0099	forty
front	2	act1-scene1-speech-0032	front
fully	1	act1-scene1-speech-0118	fully
game	1	act1-scene1-speech-0035	game
general	2	act1-scene1-speech-0046	general
god	1	act1-scene1-speech-0011	god
goe	1	act1-scene1-speech-0099	goes
going	8	act1-scene1-speech-0020	going
goodness	1	act1-scene1-speech-0016	goodness
guest	19	act1-scene1-speech-0021	guest, guests
h'm	2	act1-scene1-speech-0013	h'm
ha	1	act1-scene1-speech-0128	ha
half	3	act1-scene1-speech-0011	half
halfway	1	act1-scene1-speech-0067	halfway
handsome	1	act1-scene1-speech-0054	handsome
happened	1	act1-scene2-speech-0066	happened
he'd	1	act1-scene2-speech-0077	he'd
he'll	1	act1-scene2-speech-0082	he'll
heating	3	act1-scene1-speech-0013	heating
heavy	3	act1-scene1-speech-0001	heavy
herself	1	act1-scene2-speech-0002	herself
hiding	1	act1-scene1-speech-0039	hiding
hogben	1	act1-scene2-speech-0077	hogben
hooked	1	act1-scene1-speech-0016	hooked
hope	7	act1-scene1-speech-0012	hope
however	2	act1-scene1-speech-0025	however
hunt	1	act1-scene2-speech-0055	hunt
icy	1	act1-scene1-speech-0027	icy
idea	2	act1-scene1-speech-0021	idea
immediately	1	act1-scene1-speech-0177	immediately
important	2	act1-scene1-speech-0014	important
impress	1	act1-scene2-speech-0085	impress
indoor	2	act1-scene1-speech-0106	indoor
inside	1	act1-scene1-speech-0164	inside
instead	3	act1-scene1-speech-0021	instead
interest	3	act1-scene1-speech-0061	interest, interesting
interview	4	act1-scene1-speech-0001	interview
introduce	1	act1-scene1-speech-0115	introduce
invite	1	act1-scene1-speech-0190	invite
iron	1	act1-scene1-speech-0177	iron
joke	1	act1-scene1-speech-0067	jokes
joy	1	act1-scene1-speech-0177	joy
keeper	1	act1-scene1-speech-0164	keepers
larger	1	act1-scene2-speech-0011	larger
last	3	act1-scene1-speech-0067	last
late	1	act1-scene1-speech-0095	late
life	1	act1-scene1-speech-0118	life
locked	1	act1-scene1-speech-0184	locked
loud	1	act1-scene2-speech-0047	loud
lovely	2	act1-scene1-speech-0046	lovely
mad	1	act1-scene1-speech-0021	mad
madame	1	act1-scene1-speech-0177	madame
manor	5	act1-scene1-speech-0075	manor
married	2	act1-scene1-speech-0059	married
mean	4	act1-scene1-speech-0061	mean
meet	1	act1-scene1-speech-0081	meet
message	1	act1-scene1-speech-0139	messages
met	1	act1-scene1-speech-0083	met
mile	1	act1-scene1-speech-0126	mile
minced	2	act1-scene1-speech-0152	minced
mind	2	act1-scene2-speech-0047	mind
moment	2	act1-scene1-speech-0084	moment
music	1	act1-scene2-speech-0050	music
myself	2	act1-scene1-speech-0132	myself
mystery	1	act1-scene1-speech-0190	mystery
near	2	act1-scene1-speech-0138	near
needn't	1	act1-scene1-speech-0122	needn't
nest	1	act1-scene1-speech-0067	nests
never	5	act1-scene1-speech-0063	never
next	2	act1-scene1-speech-0121	next
nicely	1	act1-scene2-speech-0002	nicely
nineteen	1	act1-scene1-speech-0099	nineteen
nobody	2	act1-scene1-speech-0015	nobody
north	3	act1-scene1-speech-0001	north
northeast	1	act1-scene1-speech-0001	northeast
nothing	4	act1-scene1-speech-0081	nothing
nowhere	1	act1-scene1-speech-0190	nowhere
nursery	1	act1-scene1-speech-0114	nursery
o'clock	1	act1-scene1-speech-0028	o'clock
oak	4	act1-scene1-speech-0032	oak
oh	25	act1-scene1-speech-0002	oh
opened	1	act1-scene1-speech-0181	opened
opening	2	act1-scene1-speech-0110	opening
order	3	act1-scene1-speech-0016	order, ordered
oughtn't	1	act1-scene1-speech-0033	oughtn't
ourselve	1	act1-scene1-speech-0190	ourselves
out	13	act1-scene1-speech-0009	out
outside	1	act1-scene1-speech-0099	outside
paint	1	act1-scene1-speech-0097	paint
painter	2	act1-scene1-speech-0065	painter, painters
pale	1	act1-scene2-speech-0036	pale
paradise	1	act1-scene1-speech-0046	paradise
paul	1	act1-scene1-speech-0067	paul
pay	3	act1-scene1-speech-0036	pay, paying
perfect	4	act1-scene1-speech-0052	perfect
perhap	6	act1-scene1-speech-0060	perhaps
pink	1	act1-scene2-speech-0036	pink
pity	1	act1-scene1-speech-0048	pity
pleasure	1	act1-scene1-speech-0125	pleasure
police	10	act1-scene1-speech-0001	police
political	1	act1-scene1-speech-0136	political
poor	4	act1-scene1-speech-0054	poor
portrait	1	act1-scene1-speech-0065	portrait
prayer	1	act1-scene1-speech-0177	prayer
prefer	1	act1-scene1-speech-0053	prefer
pretty	4	act1-scene1-speech-0023	pretty
problem	1	act1-scene2-speech-0041	problems
promised	1	act1-scene2-speech-0006	promised
purple	1	act1-scene1-speech-0048	purple
ran	1	act1-scene1-speech-0126	ran
rate	1	act1-scene1-speech-0170	rate
real	1	act1-scene1-speech-0052	real
regular	1	act1-scene2-speech-0012	regular
remember	1	act1-scene2-speech-0088	remember
rhyme	1	act1-scene1-speech-0114	rhymes
ring	1	act1-scene1-speech-0121	ring
robin	1	act1-scene1-speech-0114	robin
roll	1	act1-scene1-speech-0177	rolls
rose	3	act1-scene1-speech-0057	rose, roses
rot	2	act1-scene1-speech-0093	rot
round	1	act1-scene1-speech-0054	round
royce	1	act1-scene1-speech-0177	royce
run	6	act1-scene1-speech-0021	run, running
rung	1	act1-scene2-speech-0079	rung
sadly	1	act1-scene2-speech-0039	sadly
satisfied	1	act1-scene1-speech-0119	satisfied
scrambled	1	act1-scene2-speech-0002	scrambled
securely	1	act1-scene1-speech-0184	securely
seem	7	act1-scene1-speech-0081	seem, seemed, seems
sell	1	act1-scene1-speech-0021	sell
send	3	act1-scene1-speech-0013	send, sending
serve	5	act1-scene1-speech-0124	serve, served, serving
several	2	act1-scene1-speech-0111	several
shave	1	act1-scene2-speech-0090	shave
she'd	2	act1-scene2-speech-0062	she'd
shivering	1	act1-scene2-speech-0072	shivering
shoulder	1	act1-scene1-speech-0017	shoulders
shovel	1	act1-scene2-speech-0022	shovel
simple	2	act1-scene1-speech-0036	simple
sir	1	act1-scene1-speech-0103	sir
snow	20	act1-scene1-speech-0001	snow, snowed
soft	3	act1-scene1-speech-0001	soft
sold	1	act1-scene2-speech-0039	sold
solve	1	act1-scene2-speech-0041	solve
somebody	1	act1-scene1-speech-0054	somebody
someone	3	act1-scene1-speech-0030	someone
something	6	act1-scene1-speech-0071	something
somewhere	1	act1-scene1-speech-0138	somewhere
sort	1	act1-scene2-speech-0071	sort
sound	3	act1-scene1-speech-0190	sound, sounds
speak	2	act1-scene2-speech-0007	speak, speaking
spoil	1	act1-scene1-speech-0052	spoil
st	1	act1-scene1-speech-0067	st
stay	2	act1-scene2-speech-0015	stay, staying
stewed	1	act1-scene1-speech-0152	stewed
stone	1	act1-scene2-speech-0095	stone
stopped	1	act1-scene1-speech-0081	stopped
storm	1	act1-scene1-speech-0190	storm
stupid	1	act1-scene1-speech-0002	stupid
such	2	act1-scene1-speech-0041	such
suppose	6	act1-scene1-speech-0015	suppose
sweet	1	act1-scene1-speech-0157	sweet
sweetheart	1	act1-scene1-speech-0007	sweetheart
talking	1	act1-scene1-speech-0022	talking
terrible	2	act1-scene1-speech-0054	terrible
thank	3	act1-scene1-speech-0016	thank, thanks
themselve	1	act1-scene1-speech-0157	themselves
they'd	1	act1-scene1-speech-0013	they'd
thick	1	act1-scene1-speech-0011	thick
thin	1	act1-scene2-speech-0072	thin
thousand	1	act1-scene1-speech-0175	thousand
throughout	3	act1-scene1-speech-0001	throughout
