THE MOUSETRAP — A2+ ADDITION CANDIDATES — PART 4 / 874-1164
Scope: global speeches 874-1164 (291 speeches)
CEFR source: Oxford 3000 and 5000 (4941 parsed headwords)
Dictionary definitions are NOT created in this phase. Production vocabulary/dictionary files are NOT modified.

PIPELINE — OXFORD A2+
1. Extracted A2+ candidate occurrences: 1071
2. After headword deduplication: 345
3. Already-implemented dictionary headwords removed: 161
4. Final Oxford A2+ addition candidates: 184

FINAL OXFORD A2+ ADDITION CANDIDATES
word	cefr	occurrences	firstSpeechId	surfaceForms	allOxfordLevels
able	A2	2	act2-speech-0367	able	A2
actually	A2	1	act2-speech-0354	actually	A2
after	A2	3	act2-speech-0517	after	A1/A2
age	B1	1	act2-speech-0460	age	A1/B1
ah	A2	1	act2-speech-0524	ah	A2
all	A2	31	act2-speech-0367	all	A1/A2
allow	A2	1	act2-speech-0490	allowed	A2
almost	A2	1	act2-speech-0538	almost	A2
alone	A2	3	act2-speech-0375	alone	A2
along	A2	2	act2-speech-0575	along	A2
any	A2	4	act2-speech-0363	any	A1/A2
anybody	A2	2	act2-speech-0372	anybody	A2
argue	A2	1	act2-speech-0459	argue	A2
as	A2	16	act2-speech-0372	as	A1/A2
aside	B2	1	act2-speech-0584	aside	B2
attention	A2	2	act2-speech-0517	attention	A2
back	A2/B2	2	act2-speech-0351	back	A1/A2/B2
bat	B2/C1	1	act2-speech-0498	bat	B2/C1
before	A2	7	act2-speech-0495	before	A1/A2
beg	B2	2	act2-speech-0455	beg, begged	B2
being	B2	2	act2-speech-0375	being	B2
best	A2	1	act2-speech-0632	best	A1/A2
better	A2/B1	4	act2-speech-0372	better	A1/A2/B1
bit	A2	2	act2-speech-0561	bit	A2
bound	B2	1	act2-speech-0392	bound	B2
burn	A2/B2	1	act2-speech-0637	burning	A2/B2
but	B2	23	act2-speech-0372	but	A1/B2
by	B1	12	act2-speech-0351	by	A1/B1
can	A2	9	act2-speech-0372	can	A1/A2
cancel	B2	1	act2-speech-0372	cancelled	B2
care	A2	1	act2-speech-0441	care	A2
carefully	A2	1	act2-speech-0620	carefully	A2
carve	C1	1	act2-speech-0379	carving	C1
chance	A2	2	act2-speech-0377	chance, chances	A2
clear	A2/B1	1	act2-speech-0528	clear	A2/B1
clearly	A2	1	act2-speech-0519	clearly	A2
control	A2	1	act2-speech-0612	control	A2
cook	A2	1	act2-speech-0558	cooking	A1/A2
count	A2/B1	3	act2-speech-0537	count	A2/B1
crazy	A2	1	act2-speech-0370	crazy	A2
cut	B1	2	act2-speech-0379	cut	A1/B1
dead	A2	4	act2-speech-0372	dead	A2
deal	A2/B1	1	act2-speech-0372	deal	A2/B1
dear	A2	4	act2-speech-0373	dear	A1/A2
degree	A2	1	act2-speech-0490	degree	A2
depend	A2	1	act2-speech-0392	depends	A2
discover	A2	2	act2-speech-0519	discover	A2
drag	B2	1	act2-speech-0503	dragging	B2
even	B2	1	act2-speech-0421	even	A1/B2
exactly	A2	3	act2-speech-0534	exactly	A2
excellent	A2	1	act2-speech-0364	excellent	A2
far	B1	1	act2-speech-0395	far	A1/B1
fat	A2	1	act2-speech-0594	fat	A1/A2
financial	B1	1	act2-speech-0465	financial	B1
finish	A2	1	act2-speech-0451	finished	A1/A2
fortunately	A2	1	act2-speech-0618	fortunately	A2
